,age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
21,54,Private,9,Separated,Other-service,Unmarried,Black,Female,20,United-States,<=50K
24,59,Private,9,Divorced,Tech-support,Unmarried,White,Female,40,United-States,<=50K
67,53,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K
85,53,Private,9,Divorced,Sales,Own-child,White,Female,35,United-States,<=50K
160,68,?,2,Divorced,?,Not-in-family,White,Female,20,United-States,<=50K
169,66,Local-gov,11,Widowed,Prof-specialty,Not-in-family,White,Female,20,United-States,<=50K
187,53,?,13,Divorced,?,Not-in-family,White,Female,50,United-States,<=50K
208,58,Self-emp-inc,9,Married-civ-spouse,Sales,Wife,White,Female,35,United-States,>50K
216,50,Private,12,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K
224,53,Local-gov,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,35,United-States,<=50K
226,60,?,6,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,10,United-States,<=50K
228,75,Private,11,Widowed,Adm-clerical,Not-in-family,White,Female,20,Columbia,<=50K
229,65,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
252,59,Local-gov,6,Widowed,Other-service,Unmarried,Black,Female,30,United-States,<=50K
283,60,Private,13,Divorced,Prof-specialty,Not-in-family,White,Female,42,United-States,<=50K
319,62,Private,9,Widowed,Other-service,Not-in-family,White,Female,24,United-States,<=50K
368,57,Private,13,Divorced,Exec-managerial,Not-in-family,White,Female,45,United-States,>50K
474,67,Private,11,Divorced,Other-service,Not-in-family,White,Female,24,United-States,<=50K
503,58,Private,10,Divorced,Other-service,Unmarried,White,Female,42,France,<=50K
511,53,?,3,Widowed,?,Unmarried,Black,Female,30,United-States,<=50K
515,57,?,11,Widowed,?,Unmarried,White,Female,38,United-States,<=50K
527,74,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,9,United-States,<=50K
536,57,Private,2,Widowed,Priv-house-serv,Not-in-family,Black,Female,30,United-States,<=50K
546,58,Private,6,Married-civ-spouse,Other-service,Wife,White,Female,8,United-States,<=50K
552,72,Private,7,Widowed,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
555,69,Private,7,Never-married,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
578,58,Local-gov,13,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
591,55,?,9,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female,40,United-States,<=50K
602,60,Private,4,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K
610,52,Private,14,Divorced,Prof-specialty,Not-in-family,White,Female,60,United-States,<=50K
622,65,Private,5,Widowed,Priv-house-serv,Unmarried,Black,Female,24,United-States,<=50K
656,70,?,5,Widowed,?,Unmarried,White,Female,15,United-States,<=50K
731,55,Private,10,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,40,United-States,<=50K
738,56,Private,9,Widowed,Other-service,Unmarried,Black,Female,20,United-States,<=50K
761,59,Local-gov,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,38,United-States,>50K
826,62,Private,9,Widowed,Other-service,Not-in-family,White,Female,40,United-States,<=50K
831,53,Private,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K
834,72,?,7,Widowed,?,Not-in-family,White,Female,24,United-States,<=50K
843,62,Local-gov,13,Widowed,Prof-specialty,Not-in-family,White,Female,48,United-States,<=50K
850,61,Private,14,Widowed,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K
945,54,Local-gov,10,Divorced,Exec-managerial,Unmarried,Black,Female,35,United-States,<=50K
952,51,Private,4,Widowed,Other-service,Unmarried,Black,Female,40,United-States,<=50K
978,78,Private,9,Widowed,Other-service,Not-in-family,Black,Female,40,United-States,<=50K
985,63,Private,11,Divorced,Other-service,Not-in-family,White,Female,20,United-States,<=50K
989,51,Private,10,Widowed,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
1010,51,Private,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
1017,51,Private,9,Widowed,Other-service,Unmarried,White,Female,32,United-States,<=50K
1040,90,Private,9,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K
1046,64,?,12,Never-married,?,Not-in-family,White,Female,20,United-States,<=50K
1113,69,Private,9,Married-civ-spouse,Sales,Wife,White,Female,40,United-States,<=50K
1118,58,Local-gov,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
1142,59,Federal-gov,9,Widowed,Sales,Unmarried,White,Female,40,Germany,<=50K
1164,50,Private,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
1170,51,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,43,United-States,<=50K
1171,50,Private,7,Divorced,Other-service,Not-in-family,Black,Female,40,United-States,<=50K
1186,59,Federal-gov,10,Never-married,Exec-managerial,Own-child,Black,Female,40,United-States,<=50K
1215,63,?,13,Widowed,?,Not-in-family,White,Female,40,United-States,>50K
1223,55,Private,9,Widowed,Adm-clerical,Own-child,White,Female,40,United-States,<=50K
1228,50,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,40,England,<=50K
1231,52,Federal-gov,9,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
1241,55,Private,9,Separated,Adm-clerical,Not-in-family,White,Female,25,United-States,<=50K
1245,62,Private,10,Widowed,Other-service,Not-in-family,White,Female,20,United-States,<=50K
1253,52,Federal-gov,9,Divorced,Adm-clerical,Not-in-family,White,Female,43,United-States,<=50K
1262,69,?,11,Widowed,?,Not-in-family,White,Female,1,United-States,<=50K
1263,73,Private,9,Widowed,Other-service,Not-in-family,White,Female,37,United-States,<=50K
1284,50,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K
1291,63,Self-emp-not-inc,2,Widowed,Other-service,Unmarried,White,Female,30,El-Salvador,<=50K
1302,58,Self-emp-inc,10,Married-civ-spouse,Transport-moving,Wife,White,Female,40,United-States,>50K
1313,51,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
1320,61,Local-gov,9,Widowed,Adm-clerical,Unmarried,White,Female,35,United-States,<=50K
1327,52,Private,9,Widowed,Other-service,Unmarried,Asian-Pac-Islander,Female,40,India,>50K
1338,71,Private,13,Divorced,Tech-support,Own-child,White,Female,16,United-States,<=50K
1341,57,Private,14,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
1363,51,Private,10,Divorced,Sales,Unmarried,White,Female,40,Italy,<=50K
1367,53,Federal-gov,10,Widowed,Adm-clerical,Not-in-family,Black,Female,40,United-States,<=50K
1392,59,Private,9,Divorced,Sales,Unmarried,White,Female,30,United-States,<=50K
1402,50,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
1431,59,Private,9,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
1435,58,Self-emp-inc,6,Married-civ-spouse,Transport-moving,Wife,White,Female,40,United-States,<=50K
1455,56,Private,9,Widowed,Adm-clerical,Unmarried,Black,Female,38,United-States,<=50K
1458,76,?,9,Widowed,?,Not-in-family,Black,Female,2,United-States,<=50K
1488,57,Federal-gov,9,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
1517,59,Private,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,30,United-States,<=50K
1534,50,Private,10,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K
1552,56,Private,4,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
1562,75,?,13,Widowed,?,Not-in-family,White,Female,16,United-States,>50K
1579,72,?,9,Widowed,?,Not-in-family,White,Female,8,United-States,<=50K
1601,57,State-gov,9,Divorced,Exec-managerial,Not-in-family,White,Female,50,United-States,<=50K
1610,58,Self-emp-not-inc,8,Divorced,Sales,Not-in-family,White,Female,52,United-States,<=50K
1627,52,Private,13,Married-civ-spouse,Sales,Wife,White,Female,60,United-States,>50K
1631,67,Local-gov,9,Divorced,Other-service,Not-in-family,White,Female,24,United-States,<=50K
1640,52,Private,9,Divorced,Other-service,Other-relative,Black,Female,38,United-States,<=50K
1644,55,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,10,United-States,<=50K
1645,71,Self-emp-inc,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,20,United-States,>50K
1649,59,Private,6,Divorced,Adm-clerical,Not-in-family,Black,Female,40,United-States,<=50K
1683,50,Private,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40,United-States,<=50K
1688,53,Private,5,Divorced,Other-service,Not-in-family,White,Female,36,Canada,<=50K
1693,53,State-gov,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K
1710,73,Private,9,Widowed,Sales,Other-relative,White,Female,15,United-States,<=50K
1742,50,Private,4,Divorced,Craft-repair,Not-in-family,White,Female,30,United-States,<=50K
1753,60,Private,6,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
1789,66,Private,3,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Female,40,Puerto-Rico,<=50K
1799,63,Private,4,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K
1802,52,Private,9,Divorced,Other-service,Not-in-family,White,Female,38,United-States,<=50K
1831,52,Private,9,Widowed,Sales,Not-in-family,White,Female,40,United-States,<=50K
1865,60,?,13,Married-spouse-absent,?,Unmarried,Black,Female,15,United-States,<=50K
1886,68,Private,9,Never-married,Sales,Not-in-family,White,Female,40,United-States,<=50K
1891,62,Private,10,Widowed,Exec-managerial,Not-in-family,White,Female,16,United-States,<=50K
1901,65,Without-pay,4,Widowed,Farming-fishing,Unmarried,White,Female,50,United-States,<=50K
1931,50,?,7,Married-civ-spouse,?,Own-child,Black,Female,40,United-States,<=50K
1946,57,Private,14,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
1957,64,Private,9,Widowed,Other-service,Not-in-family,White,Female,38,United-States,<=50K
1980,53,Local-gov,15,Divorced,Prof-specialty,Not-in-family,White,Female,50,United-States,<=50K
1997,75,Self-emp-not-inc,14,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,50,United-States,<=50K
2003,72,Private,5,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,48,United-States,>50K
2006,57,Private,10,Never-married,Adm-clerical,Other-relative,Black,Female,40,Jamaica,<=50K
2031,63,Self-emp-not-inc,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,10,United-States,>50K
2041,61,Private,4,Widowed,Other-service,Unmarried,Black,Female,38,United-States,<=50K
2064,60,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
2067,66,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
2076,51,Private,9,Divorced,Other-service,Unmarried,White,Female,38,United-States,<=50K
2080,59,Local-gov,9,Separated,Protective-serv,Unmarried,Black,Female,40,United-States,<=50K
2097,56,Local-gov,9,Divorced,Adm-clerical,Not-in-family,White,Female,46,United-States,<=50K
2113,57,Private,9,Never-married,Sales,Unmarried,White,Female,40,United-States,<=50K
2118,61,?,16,Widowed,?,Not-in-family,White,Female,5,United-States,<=50K
2136,61,Private,10,Never-married,Priv-house-serv,Not-in-family,White,Female,40,United-States,<=50K
2140,54,Local-gov,14,Widowed,Prof-specialty,Unmarried,White,Female,38,United-States,<=50K
2142,56,Local-gov,10,Widowed,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
