,age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,"(51, 65)","{'Local-gov', '?', 'Private'}","(3, 13)","{'Widowed', 'Separated', 'Married-spouse-absent'}","{'Priv-house-serv', 'Other-service', '?'}",{'Unmarried'},{'Black'},{'Female'},"(15, 40)",{'United-States'},{'<=50K'}
1,"(50, 59)","{'Local-gov', 'Federal-gov', 'Private'}","(7, 13)",{'Divorced'},"{'Other-service', 'Adm-clerical', 'Tech-support'}",{'Unmarried'},{'White'},{'Female'},"(38, 40)","{'England', 'United-States'}",{'<=50K'}
2,"(50, 60)",{'Private'},"(9, 13)",{'Married-civ-spouse'},"{'Prof-specialty', 'Tech-support', 'Sales', 'Adm-clerical', 'Other-service'}",{'Wife'},{'White'},{'Female'},"(20, 60)",{'United-States'},{'>50K'}
3,"(50, 90)","{'Federal-gov', '?', 'Self-emp-not-inc', 'Private'}","(7, 14)","{'Divorced', 'Married-civ-spouse', 'Separated', 'Widowed', 'Never-married'}","{'?', 'Tech-support', 'Prof-specialty', 'Exec-managerial', 'Sales', 'Adm-clerical', 'Priv-house-serv', 'Other-service', 'Machine-op-inspct'}",{'Own-child'},"{'Black', 'White'}",{'Female'},"(16, 40)","{'Puerto-Rico', 'United-States'}",{'<=50K'}
4,"(50, 68)","{'?', 'Private'}","(2, 13)",{'Divorced'},"{'Sales', '?'}",{'Not-in-family'},"{'White', 'Amer-Indian-Eskimo'}",{'Female'},"(5, 60)","{'Mexico', 'United-States'}",{'<=50K'}
5,"(51, 80)","{'Private', 'Local-gov'}","(9, 14)",{'Widowed'},{'Prof-specialty'},{'Not-in-family'},{'White'},{'Female'},"(10, 48)",{'United-States'},{'<=50K'}
6,"(50, 68)","{'?', 'Private'}","(2, 13)",{'Divorced'},"{'Sales', '?'}",{'Not-in-family'},"{'White', 'Amer-Indian-Eskimo'}",{'Female'},"(5, 60)","{'Mexico', 'United-States'}",{'<=50K'}
7,"(53, 71)","{'Self-emp-inc', 'Local-gov'}","(9, 13)",{'Married-civ-spouse'},"{'Transport-moving', 'Prof-specialty', 'Exec-managerial', 'Sales', 'Adm-clerical'}",{'Wife'},{'White'},{'Female'},"(20, 50)","{'?', 'United-States'}",{'>50K'}
8,"(50, 68)","{'?', 'Private'}","(2, 13)",{'Divorced'},"{'Sales', '?'}",{'Not-in-family'},"{'White', 'Amer-Indian-Eskimo'}",{'Female'},"(5, 60)","{'Mexico', 'United-States'}",{'<=50K'}
9,"(53, 90)","{'Private', '?', 'Local-gov'}","(1, 15)",{'Never-married'},"{'Prof-specialty', 'Other-service', 'Machine-op-inspct', '?'}",{'Not-in-family'},{'White'},{'Female'},"(20, 60)",{'United-States'},{'<=50K'}
10,"(50, 68)","{'?', 'Private'}","(2, 13)",{'Divorced'},"{'Sales', '?'}",{'Not-in-family'},"{'White', 'Amer-Indian-Eskimo'}",{'Female'},"(5, 60)","{'Mexico', 'United-States'}",{'<=50K'}
11,"(56, 75)",{'Private'},"(9, 13)",{'Widowed'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(20, 40)","{'United-States', 'Cuba', 'Columbia'}",{'<=50K'}
12,"(50, 81)","{'Federal-gov', 'Private'}","(9, 14)",{'Divorced'},"{'Prof-specialty', 'Adm-clerical'}",{'Not-in-family'},{'White'},{'Female'},"(9, 40)",{'United-States'},{'<=50K'}
13,"(51, 65)","{'Local-gov', '?', 'Private'}","(3, 13)","{'Widowed', 'Separated', 'Married-spouse-absent'}","{'Priv-house-serv', 'Other-service', '?'}",{'Unmarried'},{'Black'},{'Female'},"(15, 40)",{'United-States'},{'<=50K'}
14,"(51, 67)","{'Federal-gov', 'Private'}","(9, 14)",{'Divorced'},"{'Prof-specialty', 'Adm-clerical'}",{'Not-in-family'},"{'White', 'Amer-Indian-Eskimo'}",{'Female'},"(40, 60)",{'United-States'},{'<=50K'}
15,"(62, 73)",{'Private'},"(6, 10)",{'Widowed'},{'Other-service'},{'Not-in-family'},{'White'},{'Female'},"(10, 40)",{'United-States'},{'<=50K'}
16,"(53, 69)","{'Local-gov', '?', 'Self-emp-not-inc', 'Private'}","(9, 14)",{'Divorced'},"{'Farming-fishing', '?', 'Prof-specialty', 'Tech-support', 'Exec-managerial', 'Other-service'}","{'Unmarried', 'Other-relative', 'Not-in-family'}",{'White'},{'Female'},"(12, 45)","{'?', 'United-States'}",{'>50K'}
17,"(50, 67)",{'Private'},"(3, 11)",{'Divorced'},"{'Other-service', 'Machine-op-inspct', 'Craft-repair'}",{'Not-in-family'},{'White'},{'Female'},"(20, 40)","{'Canada', 'Puerto-Rico', 'United-States'}",{'<=50K'}
18,"(50, 58)","{'Local-gov', 'Self-emp-not-inc', 'Private'}","(4, 12)",{'Divorced'},"{'Other-service', 'Adm-clerical'}",{'Unmarried'},{'White'},{'Female'},"(40, 62)","{'United-States', 'France', 'Dominican-Republic'}",{'<=50K'}
19,"(51, 65)","{'Local-gov', '?', 'Private'}","(3, 13)","{'Widowed', 'Separated', 'Married-spouse-absent'}","{'Priv-house-serv', 'Other-service', '?'}",{'Unmarried'},{'Black'},{'Female'},"(15, 40)",{'United-States'},{'<=50K'}
20,"(50, 72)","{'Federal-gov', '?', 'Private'}","(4, 12)",{'Widowed'},"{'Other-service', '?', 'Adm-clerical'}",{'Unmarried'},{'White'},{'Female'},"(8, 40)","{'Puerto-Rico', '?', 'United-States'}",{'<=50K'}
21,"(50, 81)","{'Federal-gov', 'Private'}","(9, 14)",{'Divorced'},"{'Prof-specialty', 'Adm-clerical'}",{'Not-in-family'},{'White'},{'Female'},"(9, 40)",{'United-States'},{'<=50K'}
22,"(50, 81)","{'Federal-gov', 'Private'}","(2, 15)","{'Divorced', 'Never-married', 'Widowed', 'Separated'}","{'Sales', 'Adm-clerical', 'Priv-house-serv', 'Other-service', 'Machine-op-inspct'}",{'Not-in-family'},"{'Black', 'Asian-Pac-Islander'}",{'Female'},"(5, 60)",{'United-States'},{'<=50K'}
23,"(51, 70)","{'Self-emp-inc', '?', 'Self-emp-not-inc', 'Private'}","(6, 13)",{'Married-civ-spouse'},"{'Transport-moving', '?', 'Sales', 'Adm-clerical', 'Other-service'}",{'Wife'},"{'Black', 'White', 'Asian-Pac-Islander'}",{'Female'},"(5, 40)",{'United-States'},{'<=50K'}
24,"(54, 72)","{'Federal-gov', '?', 'Private'}","(7, 13)",{'Widowed'},"{'?', 'Tech-support', 'Exec-managerial', 'Sales', 'Adm-clerical', 'Machine-op-inspct'}",{'Unmarried'},{'White'},{'Female'},"(40, 60)","{'United-States', 'Germany'}",{'<=50K'}
25,"(53, 90)","{'Private', '?', 'Local-gov'}","(1, 15)",{'Never-married'},"{'Prof-specialty', 'Other-service', 'Machine-op-inspct', '?'}",{'Not-in-family'},{'White'},{'Female'},"(20, 60)",{'United-States'},{'<=50K'}
26,"(53, 90)","{'Private', '?', 'Local-gov'}","(1, 15)",{'Never-married'},"{'Prof-specialty', 'Other-service', 'Machine-op-inspct', '?'}",{'Not-in-family'},{'White'},{'Female'},"(20, 60)",{'United-States'},{'<=50K'}
27,"(51, 70)","{'Self-emp-inc', '?', 'Self-emp-not-inc', 'Private'}","(6, 13)",{'Married-civ-spouse'},"{'Transport-moving', '?', 'Sales', 'Adm-clerical', 'Other-service'}",{'Wife'},"{'Black', 'White', 'Asian-Pac-Islander'}",{'Female'},"(5, 40)",{'United-States'},{'<=50K'}
28,"(50, 64)",{'Private'},"(4, 10)",{'Divorced'},"{'Priv-house-serv', 'Other-service', 'Machine-op-inspct', 'Exec-managerial'}",{'Not-in-family'},{'White'},{'Female'},"(40, 50)",{'United-States'},{'<=50K'}
29,"(51, 67)","{'Federal-gov', 'Private'}","(9, 14)",{'Divorced'},"{'Prof-specialty', 'Adm-clerical'}",{'Not-in-family'},"{'White', 'Amer-Indian-Eskimo'}",{'Female'},"(40, 60)",{'United-States'},{'<=50K'}
30,"(51, 65)","{'Local-gov', '?', 'Private'}","(3, 13)","{'Widowed', 'Separated', 'Married-spouse-absent'}","{'Priv-house-serv', 'Other-service', '?'}",{'Unmarried'},{'Black'},{'Female'},"(15, 40)",{'United-States'},{'<=50K'}
31,"(50, 72)","{'Federal-gov', '?', 'Private'}","(4, 12)",{'Widowed'},"{'Other-service', '?', 'Adm-clerical'}",{'Unmarried'},{'White'},{'Female'},"(8, 40)","{'Puerto-Rico', '?', 'United-States'}",{'<=50K'}
32,"(50, 81)","{'Federal-gov', 'Private'}","(2, 15)","{'Divorced', 'Never-married', 'Widowed', 'Separated'}","{'Sales', 'Adm-clerical', 'Priv-house-serv', 'Other-service', 'Machine-op-inspct'}",{'Not-in-family'},"{'Black', 'Asian-Pac-Islander'}",{'Female'},"(5, 60)",{'United-States'},{'<=50K'}
33,"(51, 65)","{'Local-gov', '?', 'Private'}","(3, 13)","{'Widowed', 'Separated', 'Married-spouse-absent'}","{'Priv-house-serv', 'Other-service', '?'}",{'Unmarried'},{'Black'},{'Female'},"(15, 40)",{'United-States'},{'<=50K'}
34,"(53, 71)","{'Self-emp-inc', 'Local-gov'}","(9, 13)",{'Married-civ-spouse'},"{'Transport-moving', 'Prof-specialty', 'Exec-managerial', 'Sales', 'Adm-clerical'}",{'Wife'},{'White'},{'Female'},"(20, 50)","{'?', 'United-States'}",{'>50K'}
35,"(62, 73)",{'Private'},"(6, 10)",{'Widowed'},{'Other-service'},{'Not-in-family'},{'White'},{'Female'},"(10, 40)",{'United-States'},{'<=50K'}
36,"(50, 60)",{'Private'},"(9, 13)",{'Married-civ-spouse'},"{'Prof-specialty', 'Tech-support', 'Sales', 'Adm-clerical', 'Other-service'}",{'Wife'},{'White'},{'Female'},"(20, 60)",{'United-States'},{'>50K'}
37,"(58, 83)",{'?'},"(7, 16)",{'Widowed'},{'?'},{'Not-in-family'},"{'White', 'Amer-Indian-Eskimo'}",{'Female'},"(1, 56)",{'United-States'},{'<=50K'}
38,"(51, 80)","{'Private', 'Local-gov'}","(9, 14)",{'Widowed'},{'Prof-specialty'},{'Not-in-family'},{'White'},{'Female'},"(10, 48)",{'United-States'},{'<=50K'}
39,"(51, 75)","{'State-gov', '?', 'Federal-gov', 'Private'}","(12, 16)","{'Never-married', 'Widowed', 'Separated'}","{'Prof-specialty', '?'}",{'Not-in-family'},{'White'},{'Female'},"(16, 70)",{'United-States'},{'>50K'}
40,"(52, 76)","{'Private', 'Federal-gov', 'Local-gov'}","(6, 12)","{'Divorced', 'Widowed', 'Separated'}","{'Sales', 'Protective-serv', 'Exec-managerial', 'Adm-clerical'}",{'Unmarried'},{'Black'},{'Female'},"(12, 60)",{'United-States'},{'<=50K'}
41,"(51, 65)","{'Local-gov', '?', 'Private'}","(3, 13)","{'Widowed', 'Separated', 'Married-spouse-absent'}","{'Priv-house-serv', 'Other-service', '?'}",{'Unmarried'},{'Black'},{'Female'},"(15, 40)",{'United-States'},{'<=50K'}
42,"(50, 81)","{'Federal-gov', 'Private'}","(2, 15)","{'Divorced', 'Never-married', 'Widowed', 'Separated'}","{'Sales', 'Adm-clerical', 'Priv-house-serv', 'Other-service', 'Machine-op-inspct'}",{'Not-in-family'},"{'Black', 'Asian-Pac-Islander'}",{'Female'},"(5, 60)",{'United-States'},{'<=50K'}
