,age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income,flag
0,"(51.0, 54.0)","{'Private', 'Self-emp-not-inc', 'Local-gov'}","(1.0, 13.0)",{'Separated'},"{'Exec-managerial', 'Other-service', 'Prof-specialty', 'Machine-op-inspct'}",{'Unmarried'},{'Black'},{'Female'},"(20.0, 60.0)","{'?', 'United-States'}",{'<=50K'},n
1,"(51.0, 54.0)","{'Private', 'Self-emp-not-inc', 'Local-gov'}","(1.0, 13.0)",{'Separated'},"{'Exec-managerial', 'Other-service', 'Prof-specialty', 'Machine-op-inspct'}",{'Unmarried'},{'Black'},{'Female'},"(20.0, 60.0)","{'?', 'United-States'}",{'<=50K'},n
2,"(50.0, 61.0)","{'Private', 'Local-gov', 'Self-emp-inc'}","(6.0, 12.0)","{'Separated', 'Divorced'}","{'Adm-clerical', 'Protective-serv', 'Priv-house-serv', 'Sales'}",{'Unmarried'},{'Black'},{'Female'},"(10.0, 40.0)",{'United-States'},{'<=50K'},n
3,"(50.0, 61.0)","{'Private', 'Local-gov', 'Self-emp-inc'}","(6.0, 12.0)","{'Separated', 'Divorced'}","{'Adm-clerical', 'Protective-serv', 'Priv-house-serv', 'Sales'}",{'Unmarried'},{'Black'},{'Female'},"(10.0, 40.0)",{'United-States'},{'<=50K'},n
4,"(53.0, 65.0)",{'Private'},"(5.0, 9.0)",{'Widowed'},"{'Other-service', 'Adm-clerical', 'Priv-house-serv'}",{'Unmarried'},{'Black'},{'Female'},"(4.0, 24.0)",{'United-States'},{'<=50K'},n
5,"(53.0, 65.0)",{'Private'},"(5.0, 9.0)",{'Widowed'},"{'Other-service', 'Adm-clerical', 'Priv-house-serv'}",{'Unmarried'},{'Black'},{'Female'},"(4.0, 24.0)",{'United-States'},{'<=50K'},n
6,"(53.0, 65.0)",{'Private'},"(5.0, 9.0)",{'Widowed'},"{'Other-service', 'Adm-clerical', 'Priv-house-serv'}",{'Unmarried'},{'Black'},{'Female'},"(4.0, 24.0)",{'United-States'},{'<=50K'},n
7,"(50.0, 76.0)","{'State-gov', 'Private', '?', 'Local-gov'}","(3.0, 14.0)",{'Widowed'},"{'?', 'Other-service', 'Adm-clerical', 'Priv-house-serv', 'Sales'}",{'Unmarried'},{'Black'},{'Female'},"(3.0, 36.0)",{'United-States'},{'<=50K'},n
8,"(50.0, 76.0)","{'State-gov', 'Private', '?', 'Local-gov'}","(3.0, 14.0)",{'Widowed'},"{'?', 'Other-service', 'Adm-clerical', 'Priv-house-serv', 'Sales'}",{'Unmarried'},{'Black'},{'Female'},"(3.0, 36.0)",{'United-States'},{'<=50K'},n
9,"(50.0, 76.0)","{'State-gov', 'Private', '?', 'Local-gov'}","(3.0, 14.0)",{'Widowed'},"{'?', 'Other-service', 'Adm-clerical', 'Priv-house-serv', 'Sales'}",{'Unmarried'},{'Black'},{'Female'},"(3.0, 36.0)",{'United-States'},{'<=50K'},n
