,age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
29,50.0,Private,9.0,Never-married,Priv-house-serv,Not-in-family,White,Female,43.0,France,<=50K
49,61.0,Private,11.0,Divorced,Sales,Unmarried,White,Female,36.0,United-States,<=50K
63,67.0,?,9.0,Widowed,?,Not-in-family,Other,Female,14.0,Columbia,<=50K
84,56.0,Private,9.0,Divorced,Other-service,Unmarried,White,Female,36.0,United-States,<=50K
107,51.0,Private,14.0,Divorced,Exec-managerial,Not-in-family,White,Female,72.0,United-States,<=50K
115,52.0,Local-gov,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,17.0,United-States,<=50K
128,69.0,Private,2.0,Widowed,Priv-house-serv,Other-relative,White,Female,3.0,Guatemala,>50K
135,62.0,Private,9.0,Widowed,Priv-house-serv,Not-in-family,White,Female,11.0,Cuba,<=50K
180,56.0,Self-emp-inc,15.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,39.0,United-States,>50K
230,52.0,Private,11.0,Separated,Other-service,Unmarried,White,Female,37.0,United-States,<=50K
247,51.0,Private,13.0,Divorced,Exec-managerial,Not-in-family,White,Female,50.0,United-States,>50K
249,57.0,Self-emp-not-inc,9.0,Divorced,Sales,Not-in-family,White,Female,32.0,United-States,<=50K
251,59.0,Private,13.0,Divorced,Adm-clerical,Not-in-family,White,Female,35.0,United-States,<=50K
253,57.0,Private,9.0,Divorced,Prof-specialty,Unmarried,White,Female,30.0,United-States,<=50K
287,51.0,Local-gov,9.0,Married-civ-spouse,Protective-serv,Wife,White,Female,36.0,United-States,<=50K
321,53.0,Private,3.0,Divorced,Other-service,Not-in-family,Other,Female,32.0,Nicaragua,<=50K
351,70.0,Private,9.0,Widowed,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,40.0,?,<=50K
358,64.0,Private,10.0,Never-married,Adm-clerical,Not-in-family,White,Female,36.0,United-States,<=50K
370,64.0,Private,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,27.0,United-States,<=50K
404,52.0,Private,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,37.0,United-States,<=50K
405,73.0,Private,14.0,Married-civ-spouse,Sales,Husband,White,Female,6.0,United-States,>50K
429,50.0,Private,12.0,Married-civ-spouse,Tech-support,Wife,White,Female,37.0,United-States,>50K
436,59.0,Private,10.0,Widowed,Other-service,Not-in-family,White,Female,40.0,United-States,<=50K
489,53.0,Private,9.0,Separated,Adm-clerical,Unmarried,White,Female,37.0,United-States,<=50K
493,54.0,Private,6.0,Divorced,Other-service,Unmarried,White,Female,37.0,United-States,<=50K
525,66.0,Federal-gov,9.0,Divorced,Adm-clerical,Unmarried,White,Female,22.0,United-States,<=50K
543,50.0,Private,9.0,Divorced,Machine-op-inspct,Not-in-family,White,Female,37.0,United-States,<=50K
569,60.0,Private,9.0,Divorced,Other-service,Other-relative,White,Female,63.0,United-States,<=50K
581,70.0,Private,2.0,Widowed,Priv-house-serv,Unmarried,White,Female,6.0,Cuba,<=50K
